simulation,n_disasters,total_appropriation,mean_appropriation
4367,6,76922291.94762194,12820381.991270324
4368,1,1736952.392447748,1736952.392447748
4369,1,7490771.823037448,7490771.823037448
4370,2,45490752.80946882,22745376.40473441
4371,6,239660685.98440167,39943447.66406695
4372,1,145238151.0947919,145238151.0947919
4373,6,265958241.4951064,44326373.582517736
4374,6,262137685.78652003,43689614.29775334
4375,1,70863624.18292046,70863624.18292046
4376,5,228019862.73066297,45603972.546132594
4377,1,214232576.46104452,214232576.46104452
4378,1,56123049.858318925,56123049.858318925
4379,1,49552318.84536159,49552318.84536159
4380,6,564549494.0592468,94091582.34320779
4381,1,1537197.8484245483,1537197.8484245483
4382,5,390483603.857911,78096720.7715822
4383,1,1381170.167983636,1381170.167983636
4384,1,11356236.232135916,11356236.232135916
4385,5,99513636.64680271,19902727.32936054
4386,1,12932761.67867134,12932761.67867134
4387,1,36027611.083466016,36027611.083466016
4388,1,6907037.978218129,6907037.978218129
4389,5,59574202.49619418,11914840.499238836
4390,1,19006227.17381564,19006227.17381564
4391,2,7197129.199335616,3598564.599667808
4392,1,2497454.4792130636,2497454.4792130636
4393,1,5996908.436516851,5996908.436516851
4394,5,1019481828.9825171,203896365.79650342
4395,1,12487718.551213104,12487718.551213104
4396,1,16972958.01200611,16972958.01200611
4397,5,84651173.62622926,16930234.725245852
4398,3,90284437.5281298,30094812.5093766
4399,1,3715192.664696103,3715192.664696103
4400,1,88475506.85351543,88475506.85351543
4401,1,6686262.66012496,6686262.66012496
4402,1,373387.56820122426,373387.56820122426
4403,1,2098218.284313011,2098218.284313011
4404,1,207576762.69097626,207576762.69097626
4405,1,4171654.630672596,4171654.630672596
4406,3,49831263.38586311,16610421.128621036
4407,1,19987810.307142206,19987810.307142206
4408,1,5904420.697192191,5904420.697192191
4409,1,19114263.597787127,19114263.597787127
4410,5,96671657.67273669,19334331.534547336
4411,3,79899564.2210366,26633188.073678866
4412,1,25380033.47006437,25380033.47006437
4413,1,1768809.4137181288,1768809.4137181288
4414,6,59284912.46596523,9880818.744327538
4415,1,33121656.99237215,33121656.99237215
4416,1,14253073.445719741,14253073.445719741
4417,2,7800288.876970907,3900144.4384854534
4418,5,185023518.95386046,37004703.790772095
4419,1,19292793.766174935,19292793.766174935
4420,6,227050023.57052946,37841670.59508824
4421,1,385675.56358777115,385675.56358777115
4422,1,27298915.938995577,27298915.938995577
4423,6,599845004.1541159,99974167.35901932
4424,5,360165918.0301442,72033183.60602884
4425,1,16975605.106796805,16975605.106796805
4426,1,3198361.2017564075,3198361.2017564075
4427,1,1966495.2162380128,1966495.2162380128
4428,1,1159631.1484472118,1159631.1484472118
4429,1,9196616.375957906,9196616.375957906
4430,6,424436184.7287955,70739364.12146592
4431,6,128845250.31482317,21474208.38580386
4432,1,323383.2374472579,323383.2374472579
4433,1,14946154.16572861,14946154.16572861
4434,1,107317147.97299697,107317147.97299697
4435,1,25100724.86031844,25100724.86031844
