simulation,n_disasters,total_appropriation,mean_appropriation
4766,6,138393073.39407137,23065512.232345227
4767,1,9903314.451202447,9903314.451202447
4768,1,12581487.812529853,12581487.812529853
4769,6,53872921.91345886,8978820.31890981
4770,1,45872829.64697187,45872829.64697187
4771,6,96808458.91399518,16134743.15233253
4772,1,1507761.5019558591,1507761.5019558591
4773,1,21114280.038397465,21114280.038397465
4774,5,430588572.40517485,86117714.48103496
4775,6,52784573.76914058,8797428.96152343
4776,1,2553813.247222111,2553813.247222111
4777,1,65705483.35168376,65705483.35168376
4778,1,61039029.10138329,61039029.10138329
4779,5,95336659.21483216,19067331.84296643
4780,1,1960092.9956349512,1960092.9956349512
4781,1,4626441.984115714,4626441.984115714
4782,1,1455712.0642861568,1455712.0642861568
4783,3,1246335667.4645784,415445222.4881928
4784,5,126985405.93143868,25397081.18628774
4785,5,31948166.29796593,6389633.259593186
4786,3,130250705.18130523,43416901.72710174
4787,1,763849.7364061491,763849.7364061491
4788,6,198935643.2977559,33155940.54962598
4789,1,7223661.07598894,7223661.07598894
4790,3,52509155.93317665,17503051.97772555
4791,1,16758062.698877607,16758062.698877607
4792,5,264053512.82409132,52810702.56481826
4793,2,64248576.50924933,32124288.254624665
4794,6,47930947.85569406,7988491.309282344
4795,1,75467643.74082911,75467643.74082911
4796,1,846257.4323663805,846257.4323663805
4797,6,115162509.41106302,19193751.568510503
4798,1,78853890.43579787,78853890.43579787
4799,5,102391754.12486601,20478350.824973203
4800,1,1917252.8832640518,1917252.8832640518
4801,5,92935733.3186453,18587146.66372906
4802,1,2961742.397611959,2961742.397611959
4803,5,25364891.552654468,5072978.3105308935
4804,1,5141511.761157085,5141511.761157085
4805,6,125675779.61757997,20945963.269596662
4806,6,634291912.5045183,105715318.75075305
4807,2,30904531.86138732,15452265.93069366
4808,6,129532384.2315256,21588730.705254268
4809,6,168849569.33250526,28141594.888750877
4810,1,123793267.72745274,123793267.72745274
4811,1,1104160614.2643986,1104160614.2643986
4812,1,2398972.9321997603,2398972.9321997603
4813,1,81921759.58881654,81921759.58881654
4814,1,19799353.055767097,19799353.055767097
4815,3,2476127799.124428,825375933.0414759
4816,1,2466068.7472602134,2466068.7472602134
4817,6,784923101.2468815,130820516.87448025
4818,1,44506518.501049325,44506518.501049325
4819,1,45401545.23064248,45401545.23064248
4820,1,5477192.851381612,5477192.851381612
4821,1,24727009.627095386,24727009.627095386
4822,1,80151720.78947112,80151720.78947112
4823,1,60626645.10789211,60626645.10789211
4824,1,15356262.89226082,15356262.89226082
4825,1,53402193.783340655,53402193.783340655
4826,1,2888542.1629767353,2888542.1629767353
4827,1,12350974.205095606,12350974.205095606
4828,5,102242510.75369747,20448502.150739495
4829,6,588966365.5862364,98161060.9310394
4830,3,6842650.927871036,2280883.642623679
4831,1,30033217.45792277,30033217.45792277
4832,1,6415799.840442704,6415799.840442704
4833,1,904827.8419137517,904827.8419137517
4834,3,224629402.79726836,74876467.59908946
4835,6,322974452.3108111,53829075.38513518
4836,1,110636252.10187103,110636252.10187103
4837,1,1700763.8063783795,1700763.8063783795
4838,1,3543469.2999241143,3543469.2999241143
4839,1,5354356.172215308,5354356.172215308
4840,1,7129984.757650585,7129984.757650585
4841,2,155691292.83147317,77845646.41573659
4842,5,111986582.0518386,22397316.41036772
4843,2,13403070.433336414,6701535.216668207
4844,5,117909714.72493252,23581942.944986504
4845,1,6766348.019567067,6766348.019567067
4846,2,24239072.13652883,12119536.068264415
4847,6,85856815.75917418,14309469.293195697
4848,1,6117401.163327518,6117401.163327518
4849,6,403829574.2904135,67304929.04840225
4850,1,1164982.0435678237,1164982.0435678237
4851,1,274550765.8886803,274550765.8886803
4852,6,49740702.26637688,8290117.044396147
4853,1,25743404.77109239,25743404.77109239
4854,5,65894879.002558306,13178975.800511662
4855,1,27900089.13724834,27900089.13724834
4856,1,31454584.899210777,31454584.899210777
4857,1,108166812.07579589,108166812.07579589
4858,1,2846620.1778982985,2846620.1778982985
4859,1,7581093.467226348,7581093.467226348
4860,5,536923519.0486308,107384703.80972616
4861,1,3084347.7412424856,3084347.7412424856
4862,3,40817412.18401982,13605804.061339939
4863,6,123870045.27028756,20645007.545047928
4864,3,82625970.35909821,27541990.119699404
4865,1,1497901.713728315,1497901.713728315
4866,1,1103894.315497761,1103894.315497761
4867,5,57196634.90507131,11439326.981014263
4868,1,18522607.207467128,18522607.207467128
4869,6,59169987.22713939,9861664.537856566
4870,1,99880109.23711607,99880109.23711607
4871,1,6160892.921156436,6160892.921156436
4872,5,407751184.48379534,81550236.89675906
4873,1,4168629.704594043,4168629.704594043
4874,1,5362802.078610847,5362802.078610847
4875,6,91317932.37059654,15219655.395099424
4876,1,37562669.48024648,37562669.48024648
4877,1,4907063.657118453,4907063.657118453
4878,1,4118593.6347773187,4118593.6347773187
4879,1,3775158.406236694,3775158.406236694
4880,1,80649473.9261105,80649473.9261105
4881,3,13145258.329475872,4381752.776491958
4882,1,8045667.5389079265,8045667.5389079265
4883,1,3470219.005025878,3470219.005025878
4884,5,609890414.4913406,121978082.89826813
4885,1,3292420.1517937663,3292420.1517937663
4886,1,82070346.10478967,82070346.10478967
4887,5,288311914.28739184,57662382.857478365
4888,1,113194606.4728638,113194606.4728638
4889,1,29477171.191878874,29477171.191878874
4890,3,17553094.740219273,5851031.580073091
4891,1,6246974.734707032,6246974.734707032
4892,1,4538507.286167444,4538507.286167444
4893,5,52024541.064039595,10404908.21280792
4894,5,259046585.49506974,51809317.09901395
4895,2,93417783.64414105,46708891.822070524
4896,1,26510690.073534384,26510690.073534384
4897,6,112745084.55807698,18790847.426346164
4898,5,315000048.8565057,63000009.771301135
4899,6,77823056.25800619,12970509.376334364
4900,6,434484802.1526264,72414133.6921044
4901,2,254298333.33214575,127149166.66607288
4902,1,1100555.9606498636,1100555.9606498636
4903,1,5715362.099289943,5715362.099289943
4904,6,73527698.38876252,12254616.398127086
4905,1,6323950.954011522,6323950.954011522
4906,5,121572846.42723458,24314569.285446916
4907,5,49317336.197482966,9863467.239496592
4908,1,9085255.611865113,9085255.611865113
4909,5,577376056.5191861,115475211.30383722
4910,1,40269688.11647804,40269688.11647804
4911,1,8492933.590568777,8492933.590568777
4912,6,277188325.3791242,46198054.22985404
4913,2,63992151.63315977,31996075.816579886
4914,5,219325140.17326078,43865028.03465216
4915,5,152600899.19305372,30520179.838610746
4916,5,57444639.210767165,11488927.842153434
4917,6,183204058.17969278,30534009.69661546
4918,1,972726.4961448043,972726.4961448043
4919,5,49850778.74016039,9970155.748032078
4920,1,2346663.64435512,2346663.64435512
4921,1,82960063.68933506,82960063.68933506
4922,1,3444796.6443224675,3444796.6443224675
4923,1,128464644.3176465,128464644.3176465
4924,6,188229813.37705955,31371635.56284326
4925,1,16298335.89710926,16298335.89710926
4926,1,3066959.1972499792,3066959.1972499792
4927,5,135052416.06536114,27010483.21307223
4928,1,26594633.030154046,26594633.030154046
4929,1,11050332.42449743,11050332.42449743
4930,6,1050606306.9393585,175101051.15655974
4931,1,626576.1204781558,626576.1204781558
4932,1,2687839.4310683934,2687839.4310683934
4933,1,5894496.468706676,5894496.468706676
4934,6,182552963.91200778,30425493.98533463
4935,1,9157212.013238084,9157212.013238084
4936,1,27321646.147294886,27321646.147294886
4937,5,146896364.5127276,29379272.90254552
4938,1,66052522.6694948,66052522.6694948
4939,1,8675767.22043653,8675767.22043653
4940,6,303866813.0210707,50644468.83684512
4941,3,174416587.14992362,58138862.383307874
4942,5,1368537397.1611638,273707479.43223274
4943,1,733016.3860787131,733016.3860787131
4944,2,46025037.0353608,23012518.5176804
4945,6,98300208.9672425,16383368.161207082
4946,6,256844938.80423823,42807489.80070637
4947,5,481936078.9296201,96387215.78592402
4948,5,2094692590.1277974,418938518.0255595
4949,1,17333351.504246987,17333351.504246987
4950,5,212209013.3223336,42441802.664466724
4951,1,28647347.760829758,28647347.760829758
4952,1,8901715.56217539,8901715.56217539
4953,1,64575834.02288699,64575834.02288699
4954,3,320561646.46547467,106853882.15515822
4955,1,16721831.454083107,16721831.454083107
4956,1,2322169.28601832,2322169.28601832
4957,1,860394.5204416289,860394.5204416289
4958,1,3314696.119253083,3314696.119253083
4959,2,17661666.995648164,8830833.497824082
4960,1,8983532.750353811,8983532.750353811
4961,3,27172533.853979815,9057511.284659939
4962,6,192373259.34706193,32062209.891176987
4963,1,39220925.92029849,39220925.92029849
4964,1,197488799.288526,197488799.288526
4965,2,33608601.30706389,16804300.653531946
4966,1,7911078.261822847,7911078.261822847
4967,5,161855808.252308,32371161.650461603
4968,6,195266172.23402974,32544362.039004955
4969,3,450048453.7157095,150016151.23856983
4970,6,308195308.04175276,51365884.67362546
4971,6,777886686.1473252,129647781.0245542
4972,5,37064556.307322726,7412911.2614645455
4973,5,398512753.0747254,79702550.61494508
