simulation,n_disasters,total_appropriation,mean_appropriation
394,1,132607519.90338442,132607519.90338442
395,5,58406696.32787137,11681339.265574273
396,5,2932782499.8090115,586556499.9618022
397,2,48093079.26954504,24046539.63477252
398,5,34301712.8528781,6860342.57057562
399,1,134948991.92071083,134948991.92071083
400,5,97330329.25538215,19466065.85107643
401,5,707925241.8182155,141585048.3636431
402,5,424840859.7283276,84968171.94566551
403,5,161888817.72311896,32377763.544623792
404,2,2501479863.7012286,1250739931.8506143
405,2,9060212.953293847,4530106.476646923
406,1,7306111.865656013,7306111.865656013
407,1,23945029.551066,23945029.551066
408,1,39736190.910005905,39736190.910005905
409,2,33424736.545591533,16712368.272795767
410,5,221730822.37224972,44346164.47444995
411,5,99992813.20487599,19998562.6409752
412,1,79258501.5793451,79258501.5793451
413,2,23094294.042462133,11547147.021231066
414,1,7505472.122181512,7505472.122181512
415,1,7376618.02139391,7376618.02139391
416,5,42992206.848166764,8598441.369633352
417,1,64064286.88946739,64064286.88946739
418,5,68109991.68725158,13621998.337450316
419,6,89978561.00854175,14996426.834756957
420,1,439601.72661612305,439601.72661612305
421,1,161698394.17324352,161698394.17324352
422,1,1930394.5519573055,1930394.5519573055
423,6,395151802.7427624,65858633.7904604
424,1,27075992.69389498,27075992.69389498
425,1,61725017.92012556,61725017.92012556
426,1,5540876.350491364,5540876.350491364
427,5,129307628.12398323,25861525.624796648
428,1,5681093.08226012,5681093.08226012
429,1,3185618.5981278075,3185618.5981278075
430,2,9453406.115669684,4726703.057834842
431,6,72194914.33696058,12032485.722826764
432,5,90236208.88690718,18047241.777381435
433,1,33979059.6100318,33979059.6100318
434,1,1728829.5631338637,1728829.5631338637
435,5,38168613.842608005,7633722.768521601
436,1,3665093.346692183,3665093.346692183
437,2,44607960.824675046,22303980.412337523
438,3,72417445.86417764,24139148.621392548
439,5,242957246.85815966,48591449.371631935
440,1,37145116.71233351,37145116.71233351
441,2,69206075.02314797,34603037.511573985
442,1,1950729.2799469999,1950729.2799469999
443,6,38451333.79615815,6408555.632693025
444,5,531935938.3559137,106387187.67118274
445,1,27111016.19809412,27111016.19809412
446,2,46548541.1041061,23274270.55205305
447,1,4669245.665531948,4669245.665531948
448,6,92709499.7738076,15451583.2956346
449,1,3590349.6117301006,3590349.6117301006
450,1,4357641.120589449,4357641.120589449
451,5,283050510.3494894,56610102.069897875
452,1,5329867.779192504,5329867.779192504
453,3,147437093.1208915,49145697.70696384
454,3,23411225.441011116,7803741.813670372
455,1,3627250.5603413633,3627250.5603413633
456,1,1090134.7145375507,1090134.7145375507
457,5,128174668.26782554,25634933.65356511
458,6,108429515.63388586,18071585.938980978
459,6,212716100.56074697,35452683.42679116
460,1,29233536.66743911,29233536.66743911
461,6,483027090.8747015,80504515.14578359
462,2,388123198.8050947,194061599.40254736
463,5,20546765.81236671,4109353.162473342
464,1,2100744.4050635453,2100744.4050635453
465,1,19049942.982284725,19049942.982284725
466,6,60772303.96273047,10128717.327121744
467,5,352728440.00581783,70545688.00116357
468,3,26308848.30394518,8769616.10131506
469,1,42878247.36402474,42878247.36402474
470,3,126367271.01448551,42122423.67149517
471,2,20505505.275676303,10252752.637838151
472,5,311520378.63799655,62304075.72759931
473,1,6704436.359389582,6704436.359389582
474,3,25805436.243346184,8601812.081115395
475,1,10597648.612420933,10597648.612420933
476,6,75930389.4788665,12655064.913144417
477,1,932226.3030475545,932226.3030475545
478,6,463993974.9430465,77332329.15717442
479,1,28029281.837008998,28029281.837008998
480,1,604137617.64638,604137617.64638
481,6,204919161.07869703,34153193.51311617
482,5,199512016.49587476,39902403.29917495
483,2,42600274.37470779,21300137.187353894
484,3,22848857.138384607,7616285.712794869
485,1,2290581.2852902757,2290581.2852902757
486,3,24748405.05031798,8249468.350105993
487,1,7410314.35603035,7410314.35603035
488,1,41770228.08809104,41770228.08809104
489,1,2034372.1026977967,2034372.1026977967
490,1,4743675.960254675,4743675.960254675
491,1,7846360.766377111,7846360.766377111
492,1,13789711.38879778,13789711.38879778
493,1,11819307.31946775,11819307.31946775
494,6,1019812746.5777929,169968791.0962988
495,1,12151348.117780443,12151348.117780443
496,2,2719984.9176561376,1359992.4588280688
497,1,425343.1037209331,425343.1037209331
498,6,70983184.32373016,11830530.720621692
499,2,135218024.21634182,67609012.10817091
500,2,15583408.356482279,7791704.178241139
501,3,19886811.879344862,6628937.293114954
502,1,19123718.19582032,19123718.19582032
503,1,29641247.19061544,29641247.19061544
504,1,16836689.682636846,16836689.682636846
505,5,46615445.69576395,9323089.139152791
506,1,1027585.6884747716,1027585.6884747716
507,1,14976444.43166503,14976444.43166503
508,1,1362080.9276489906,1362080.9276489906
509,1,59066289.86761192,59066289.86761192
510,3,22067535.240680665,7355845.080226888
511,6,92649441.45548955,15441573.575914925
512,6,101661403.78760456,16943567.297934093
513,5,201622451.74978125,40324490.34995625
514,6,58936569.7943083,9822761.632384716
515,5,57167277.64377749,11433455.528755497
516,5,90892900.62546742,18178580.125093482
517,1,26110250.80243833,26110250.80243833
518,5,68862451.9246829,13772490.38493658
519,1,3487528.5804352015,3487528.5804352015
520,1,22010988.884054717,22010988.884054717
521,1,4426509.517889971,4426509.517889971
522,1,4551434.952622083,4551434.952622083
523,5,106113277.96623,21222655.593246
524,5,2574973192.2803197,514994638.4560639
525,1,17586118.72621406,17586118.72621406
526,1,9387271.795546845,9387271.795546845
527,3,25394919.67220946,8464973.22406982
528,6,109623527.79952513,18270587.96658752
529,6,142189439.9133407,23698239.98555678
530,5,242672820.49253517,48534564.09850703
531,1,1789141.205499091,1789141.205499091
532,1,16649789.99601889,16649789.99601889
533,6,57411772.29400534,9568628.715667557
534,5,261193516.0491137,52238703.20982274
535,6,132499703.13469161,22083283.855781935
536,3,19163050.301430218,6387683.433810073
537,1,49649026.16265214,49649026.16265214
538,1,11173544.888948388,11173544.888948388
539,3,118887228.47810996,39629076.15936998
540,5,126482646.4402994,25296529.288059883
541,1,32122827.828345347,32122827.828345347
542,5,71893160.67297679,14378632.134595359
543,5,220805909.75152642,44161181.95030528
544,1,261943424.23626187,261943424.23626187
545,6,91978309.96939245,15329718.328232074
546,6,164783072.07310843,27463845.34551807
547,5,137683403.38239107,27536680.676478215
548,5,60747769.39083791,12149553.87816758
549,1,4299076.075442613,4299076.075442613
550,1,224602019.5177025,224602019.5177025
551,1,1618970.9841077987,1618970.9841077987
552,5,105636333.02662343,21127266.605324686
553,1,10100505.327243542,10100505.327243542
554,1,2117369.342528934,2117369.342528934
555,5,295556288.788242,59111257.75764839
556,6,97565735.68839903,16260955.948066505
557,6,536234795.2090807,89372465.86818011
558,5,591189190.9450157,118237838.18900314
559,6,104212554.76211669,17368759.127019446
560,3,21907062.9181589,7302354.306052967
561,3,62385302.08782517,20795100.695941724
562,1,33161139.48441128,33161139.48441128
563,1,25807187.64272027,25807187.64272027
564,2,2643178.2034610356,1321589.1017305178
565,2,200439772.76402605,100219886.38201302
566,1,4766216.955285571,4766216.955285571
567,5,156621484.07243758,31324296.814487517
568,5,234272520.6862834,46854504.13725668
569,1,9174832.072110113,9174832.072110113
570,1,9410769.57531979,9410769.57531979
571,1,3912614.834593602,3912614.834593602
572,1,2363844.758540184,2363844.758540184
573,1,14031721.977582611,14031721.977582611
574,1,26488341.364672318,26488341.364672318
575,5,30135100.38497709,6027020.076995418
576,1,6955418.032343091,6955418.032343091
577,6,58849254.506024525,9808209.08433742
578,6,239391030.2832521,39898505.04720868
579,1,47152098.98704721,47152098.98704721
580,1,69468431.86604948,69468431.86604948
581,2,22628563.042557903,11314281.521278951
582,6,51751771.38762525,8625295.231270874
583,1,7479260.374018848,7479260.374018848
584,1,21073915.688322175,21073915.688322175
585,1,3420151.972470927,3420151.972470927
586,6,186953759.9896538,31158959.998275634
587,6,814019535.9130347,135669922.65217245
588,6,119501143.24569069,19916857.207615115
589,6,88505813.2717593,14750968.87862655
590,1,32348637.43315235,32348637.43315235
591,1,91985982.92520228,91985982.92520228
592,1,2502352.38523039,2502352.38523039
593,2,24043950.748057205,12021975.374028603
594,1,782744.183148899,782744.183148899
595,3,64434336.79481236,21478112.264937453
596,6,148191467.24661043,24698577.87443507
597,1,19146331.65616363,19146331.65616363
598,1,38623002.18485183,38623002.18485183
599,1,28358846.414497845,28358846.414497845
600,2,40140824.24404061,20070412.122020304
601,1,14251673.567248007,14251673.567248007
602,1,19309063.320821494,19309063.320821494
603,2,51914957.3003868,25957478.6501934
604,1,10445527.911475856,10445527.911475856
605,6,268317266.25556952,44719544.37592825
606,1,702560.1127104523,702560.1127104523
607,1,7145190.153778259,7145190.153778259
608,1,5043725.3017498795,5043725.3017498795
609,5,88416053.95769446,17683210.79153889
610,2,213550339.30222577,106775169.65111288
611,6,514231918.0984376,85705319.68307294
612,1,15495616.107827706,15495616.107827706
613,3,11343015.988809507,3781005.329603169
614,3,81899463.91439822,27299821.304799408
615,1,16014793.795294821,16014793.795294821
616,1,2533900.7463527443,2533900.7463527443
617,6,65092700.6952934,10848783.449215567
618,1,13932070.008506397,13932070.008506397
619,5,141969897.0007991,28393979.400159817
620,5,181907999.0207815,36381599.804156296
621,6,232655339.28541318,38775889.88090219
622,1,732195.2726098519,732195.2726098519
623,1,8150129.5938919755,8150129.5938919755
624,1,3653454.949003318,3653454.949003318
625,6,68904413.85922766,11484068.976537943
626,3,34468177.886200145,11489392.628733382
627,6,248903430.03587896,41483905.00597983
628,3,83334255.0518361,27778085.0172787
629,1,365378795.8785173,365378795.8785173
630,1,3086166.9845626727,3086166.9845626727
631,1,42481992.51697768,42481992.51697768
632,6,34779209.29747081,5796534.882911801
633,1,4326256.657273876,4326256.657273876
634,1,14741140.638533076,14741140.638533076
635,3,34004968.56041379,11334989.52013793
636,2,26303493.30521658,13151746.65260829
